index,label,ev_type,ev_date,entry_date,entry_spot,strike,gap_pct,be_pct,cost,exit_2h,pnl_2h,win_2h,exit_eod,pnl_eod,win_eod,rv_pct,pre_iv_pct,lot_size
NIFTY,FOMC Dec-24 (-25bp),fomc,2024-12-19,2024-12-18,24198.849609375,24200,-1.3293988100383454,0.9655847501540183,233.6604015408302,340.1806739504903,2663.0068102415025,True,248.30078125,366.0094927292448,True,14.229658800046682,19.210039380063023,25
NIFTY,FOMC Jan-25 (hold),fomc,2025-01-30,2025-01-29,23163.099609375,23150,0.02763184000818921,0.8800288145547425,203.841950906517,110.18891829848144,-2341.3258152008893,False,99.5,-2608.5487726629253,False,12.93769889927059,17.465893514015296,25
NIFTY,FOMC Mar-25 (hold),fomc,2025-03-20,2025-03-19,22907.599609375,22900,0.5631318959634967,0.7895646822149218,180.8703160588284,216.10599822035456,880.8920540381542,True,290.650390625,2744.50186415429,True,11.618294491338709,15.684697563307257,25
NIFTY,FOMC May-25 (hold),fomc,2025-05-08,2025-05-07,24414.400390625,24400,0.07003903065981566,1.2636385753052943,308.50978126542395,140.97564506076378,-4188.353405116504,False,126.19921875,-4557.764062885599,False,18.60371854667258,25.115020038007984,25
NIFTY,FOMC Jun-25,fomc,2025-06-19,2025-06-18,24812.05078125,24800,-0.03546978574076829,1.0970289455596491,272.19537905727157,121.76812704815347,-3760.6813002279523,False,6.75,-6636.134476431789,False,16.14935938935737,21.801635175632455,25
NIFTY,FOMC Jul-25,fomc,2025-07-31,2025-07-30,24855.05078125,24850,-0.8561671554118543,0.6794238630457081,168.8711461799412,220.92829609193132,1301.4287477997527,True,81.650390625,-2180.51888887353,False,10.0,13.5,25
NIFTY,FOMC Sep-25,fomc,2025-09-18,2025-09-17,25330.25,25350,0.4374247441300421,0.6799258817121948,172.22692565240322,118.96089838312636,-1331.6506817319216,False,73.599609375,-2465.6829069350806,False,10.0,13.5,25
NIFTY,FOMC Oct-25,fomc,2025-10-30,2025-10-29,26053.900390625,26050,-0.26675468531770485,0.6792181039168139,176.9628082295785,131.29484164941778,-1141.6991645040184,False,172.150390625,-120.31044011446284,False,10.0,13.5,25
NIFTY,FOMC Dec-25,fomc,2025-12-11,2025-12-10,25758.0,25750,0.05202418908688563,0.6799176960531139,175.13320014936107,101.66473542097029,-1836.7116182097695,False,148.55078125,-664.5604724840268,False,10.0,13.5,25
NIFTY,FOMC Jan-26,fomc,2026-01-29,2026-01-28,25342.75,25350,0.008878278797683756,0.6785417199823074,171.9611317408162,82.55638624278436,-2235.118637450796,False,68.900390625,-2576.518527895405,False,10.0,13.5,25
NIFTY,FOMC Mar-26,fomc,2026-03-19,2026-03-18,23777.80078125,23800,-2.439463542429035,1.0646415158895859,253.1483386827058,710.4320361782821,11432.092437389409,True,797.849609375,13617.531767307355,True,15.66574688450939,21.14875829408768,25
BANKNIFTY,RBI Apr-24 (hold),rbi,2024-04-05,2024-04-04,48060.80078125,48100,0.09123371965767646,0.8039738454403575,386.39626819044497,227.12536822947877,-2389.063499414493,False,393.05078125,99.81769589332544,True,11.828069486973227,15.967893807413859,15
BANKNIFTY,RBI Jun-24 (hold),rbi,2024-06-07,2024-06-06,49291.8984375,49300,0.050821295271804776,2.261142284729062,1114.5599585160162,534.7370394105019,-8697.343786582715,False,503.19921875,-9170.411096490243,False,33.326427881769206,44.990677640388434,15
BANKNIFTY,RBI Aug-24 (hold),rbi,2024-08-08,2024-08-07,50119.0,50100,-0.13388447993774816,0.818191676197339,410.06948619334435,206.23710237734122,-3057.485757240047,False,56.69921875,-5300.554011650165,False,12.037955538707747,16.25123997725546,15
BANKNIFTY,RBI Oct-24 (hold),rbi,2024-10-09,2024-10-08,51021.0,51000,0.27586679994512064,1.0007061576419194,510.5702886904837,409.35644474396975,-1518.2076591977097,False,7.0,-7553.554330357256,False,14.731325554481057,19.887289498549425,15
BANKNIFTY,RBI Dec-24 (hold),rbi,2024-12-06,2024-12-05,53603.55078125,53600,0.057176133023487175,1.1383108884680364,610.175055148462,289.53464814729523,-4809.606105017501,False,90.5,-7795.12582722693,False,16.774264239831858,22.645256723773013,15
BANKNIFTY,RBI Feb-25 (-25bp),rbi,2025-02-07,2025-02-06,50382.1015625,50400,0.2031428882001591,1.167409300696595,588.1653395270296,287.84082433589356,-4504.86772786704,False,241.1484375,-5205.253530405444,False,17.203924952292613,23.22529868559503,15
BANKNIFTY,RBI Apr-25 (-25bp),rbi,2025-04-09,2025-04-08,50511.0,50500,-0.047313332739403295,1.1103998126808907,560.8740493832447,302.2481184247699,-3879.3889643771217,False,259.8515625,-4515.337303248671,False,16.35868958008432,22.084230933113837,15
BANKNIFTY,RBI Jun-25,rbi,2025-06-06,2025-06-05,55760.8515625,55800,-0.11011729919722743,0.9697298962916125,540.7296480283512,269.8019652551411,-4063.9152415981516,False,778.3984375,3565.0318420747317,True,14.279447390111919,19.27725397665109,15
BANKNIFTY,RBI Aug-25,rbi,2025-08-06,2025-08-05,55360.25,55400,-0.05500195311617993,0.6796281926457445,376.24386651916575,185.31426537799416,-2863.944017117574,False,11.1484375,-5476.431435287486,False,10.0,13.5,15
BANKNIFTY,RBI Oct-25,rbi,2025-10-08,2025-10-07,56239.3515625,56200,-0.2504501893900193,0.6826112535162204,383.8961426701753,245.2752461671058,-2079.313447546043,False,181.75,-3032.19214005263,False,10.0,13.5,15
BANKNIFTY,RBI Dec-25,rbi,2025-12-05,2025-12-04,59288.69921875,59300,-0.26227595148659166,0.6785375715203062,402.29609986488504,228.05663943938015,-2613.591906382573,False,477.19921875,1123.5467832767245,True,10.0,13.5,15
BANKNIFTY,RBI Feb-26,rbi,2026-02-06,2026-02-05,60063.6484375,60100,-0.16074094316875054,0.8698102039893235,522.4397429976489,309.2829000598114,-3197.3526440675614,False,20.55078125,-7528.334426214733,False,12.810757375280726,17.294522456628982,15
BANKNIFTY,Budget Feb-24 (interim),budget,2024-02-01,2024-01-31,45996.80078125,46000,0.3654551042569961,1.1659839605647628,536.3153194823026,301.40159766008037,-3523.705827333333,False,188.6484375,-5215.003229734539,False,17.184052246058013,23.19847053217832,15
BANKNIFTY,Budget Jul-24 (full),budget,2024-07-23,2024-07-22,52280.3984375,52300,0.4410860846358675,0.7958630086798915,416.0803519545225,282.1529720794757,-2008.9106981257014,False,521.69921875,1584.2830019321627,True,11.727884471157365,15.832644036062444,15
BANKNIFTY,FOMC Jan-24 (hold),fomc,2024-01-31,2024-01-30,45367.75,45400,-0.15892690843165022,1.1860113429599242,538.066661045701,279.5150556094377,-3878.27408154395,False,596.80078125,881.0118030644844,True,17.467567827856858,23.58121656760676,15
BANKNIFTY,FOMC Mar-24 (hold),fomc,2024-03-21,2024-03-20,46310.8984375,46300,0.7858908751061735,1.0004381988584863,463.31191820330787,527.40564056875,961.4058354816314,True,384.8984375,-1176.202210549618,False,14.735895184472891,19.893458499038406,15
BANKNIFTY,FOMC May-24 (hold),fomc,2024-05-02,2024-04-30,49396.75,49400,-0.2727912261434204,0.8626249139705234,426.1086721917345,243.2088930129441,-2743.496687681856,False,168.94921875,-3857.3918016260177,False,12.712106056092868,17.16134317572537,15
